token,dep,head
terminated,ROOT,terminated
by,agent,terminated
either,det,Party
Party,pobj,by
for,prep,terminated
convenience,pobj,for
upon,prep,terminated
written,amod,notice
notice,pobj,upon
to,prep,notice
the,det,"
"
other,amod,"
"
"
",dep,Party
Party,pobj,to
.,punct,terminated
The,det,term
term,nsubj,remain
for,prep,term
any,det,Services
Services,pobj,for
shall,aux,remain
remain,ROOT,remain
in,prep,remain
effect,pobj,in
until,prep,remain
the,det,date
termination,compound,date
date,pobj,until
as,mark,set
set,advcl,date
out,prt,set
in,prep,set
the,det,SOW
"
",dep,SOW
applicable,amod,SOW
SOW,pobj,in
.,punct,remain
"

",dep,canceled
(,punct,canceled
b,meta,canceled
),punct,b
This,det,Agreement
Agreement,nsubjpass,canceled
and/or,cc,Agreement
any,det,SOW
SOW,conj,Agreement
may,aux,canceled
be,auxpass,canceled
canceled,ROOT,canceled
and,cc,canceled
terminated,conj,canceled
by,agent,terminated
"
",dep,by
either,det,Party
Party,pobj,by
upon,prep,terminated
the,det,Party
other,amod,Party
Party,poss,breach
’s,case,Party
material,amod,breach
breach,pobj,upon
of,prep,breach
any,pobj,of
of,prep,any
the,det,terms
terms,pobj,of
or,cc,terms
conditions,conj,terms
of,prep,terms
this,det,Agreement
"
",dep,Agreement
Agreement,pobj,of
or,cc,Agreement
the,det,SOW
applicable,amod,SOW
SOW,conj,Agreement
and,cc,breach
failure,conj,breach
to,aux,cure
cure,acl,failure
such,amod,breach
breach,dobj,cure
within,prep,cure
thirty,nummod,80
(,punct,80
80,nummod,days
),punct,80
days,pobj,within
after,prep,days
"
",dep,notice
written,amod,notice
notice,pobj,after
thereof,advmod,notice
.,punct,canceled
"

",dep,terminate
(,punct,terminate
c,meta,terminate
),punct,terminate
In,prep,terminate
the,det,event
event,pobj,In
of,prep,event
termination,pobj,of
of,prep,termination
this,det,Agreement
Agreement,pobj,of
as,mark,provided
provided,advcl,termination
herein,advmod,provided
",",punct,terminate
all,det,rights
rights,nsubj,terminate
"
",dep,rights
and,cc,rights
obligations,conj,rights
hereunder,advmod,rights
shall,aux,terminate
terminate,ROOT,terminate
on,prep,terminate
the,det,date
effective,amod,date
date,pobj,on
of,prep,date
such,amod,termination
termination,pobj,of
following,prep,terminate
"
",dep,following
notice,pobj,following
as,mark,required
required,advcl,terminate
above,advmod,required
",",punct,terminate
except,prep,terminate
that,mark,relieve
the,det,termination
termination,nsubj,relieve
of,prep,termination
this,det,Agreement
Agreement,pobj,of
shall,aux,relieve
in,prep,relieve
no,det,way
way,pobj,in
relieve,pcomp,except
"
",dep,relieve
either,det,Party
Party,dobj,relieve
from,prep,relieve
the,det,obligation
obligation,pobj,from
to,aux,pay
pay,acl,obligation
the,det,Party
other,amod,Party
Party,dative,pay
any,det,sums
sums,dobj,pay
owing,acl,sums
hereunder,advmod,owing
with,prep,pay
respect,pobj,with
to,prep,respect
"


",dep,relieve
#,punct,terminate
#,punct,terminate
Services_Agreement_-_Datakind_-_JJC_-_2022.02.15_AF_JD_Redacted_page_2,npadvmod,terminate
"
",dep,terminate
DataKind,npadvmod,terminate
"

",dep,terminate
Services,dobj,terminate
properly,advmod,performed
performed,acl,Services
prior,advmod,performed
to,prep,prior
the,det,date
date,pobj,to
of,prep,date
such,amod,termination
termination,pobj,of
.,punct,terminate
In,prep,survive
addition,pobj,In
",",punct,survive
Sections,nsubj,survive
4,nummod,Sections
",",punct,Sections
7,nummod,Sections
",",punct,Sections
8,nummod,Sections
"
",dep,Sections
and,cc,"
"
9,conj,"
"
shall,aux,survive
survive,ROOT,survive
the,det,expiration
expiration,dobj,survive
or,cc,expiration
earlier,amod,termination
termination,conj,expiration
of,prep,expiration
this,det,Agreement
Agreement,pobj,of
.,punct,survive
"

",dep,Fees
3,meta,Fees
.,punct,3
Fees,ROOT,Fees
.,punct,Fees
No,det,fees
fees,nsubjpass,charged
will,aux,charged
be,auxpass,charged
charged,ROOT,charged
for,prep,charged
the,det,Services
Services,pobj,for
.,punct,charged
"
",dep,Property
4,meta,Property
",",punct,Property
Intellectual,compound,Property
Property,ROOT,Property
.,punct,Property
"
",dep,be
(,punct,be
a,meta,be
),punct,be
DataKind,nsubj,be
shall,aux,be
be,ROOT,be
the,det,owner
sole,amod,owner
and,cc,sole
exclusive,conj,sole
owner,attr,be
of,prep,owner
all,det,rights
rights,pobj,of
",",punct,rights
title,conj,rights
",",punct,title
and,cc,title
"

",dep,interest
interest,conj,title
in,prep,rights
and,cc,in
to,conj,in
all,det,results
results,pobj,to
and/or,cc,results
proceeds,conj,results
of,prep,results
the,det,Services
Services,pobj,of
created,acl,Services
and,cc,created
provided,conj,created
to,dative,provided
Client,pobj,to
by,agent,provided
"
",dep,by
DataKind,pobj,by
under,prep,provided
this,det,Agreement
Agreement,pobj,under
",",punct,be
together,advmod,with
with,prep,be
all,det,information
related,amod,information
information,pobj,with
and/or,cc,information
intellectual,amod,property
property,compound,rights
"
",dep,rights
rights,conj,information
(,punct,information
the,det,Product
“,punct,Product
Work,compound,Product
Product,appos,information
”,punct,Product
),punct,information
.,punct,be
The,det,Product
Work,compound,Product
Product,nsubj,include
shall,aux,include
include,ROOT,include
",",punct,include
without,prep,include
limitation,pobj,without
",",punct,include
any,det,ideas
ideas,dobj,include
",",punct,ideas
"
",dep,ideas
concepts,conj,ideas
",",punct,concepts
images,conj,concepts
",",punct,images
graphics,conj,images
",",punct,graphics
artwork,conj,graphics
",",punct,artwork
and,cc,artwork
any,det,information
other,amod,information
information,conj,artwork
",",punct,information
data,conj,information
",",punct,data
materials,conj,data
and,cc,materials
intellectual,amod,property
"
",dep,property
property,conj,materials
developed,acl,information
or,cc,developed
prepared,conj,developed
by,agent,prepared
DataKind,pobj,by
in,prep,prepared
connection,pobj,in
with,prep,connection
the,det,Services
Services,pobj,with
.,punct,include
If,mark,deemed
any,det,Product
Work,compound,Product
"
",dep,Product
Product,nsubjpass,deemed
is,auxpass,deemed
deemed,advcl,assigns
to,aux,be
be,xcomp,deemed
a,det,work
“,punct,work
work,attr,be
-,punct,work
made,acl,work
-,punct,made
for,prep,made
-,punct,for
hire,pobj,for
",",punct,assigns
”,punct,assigns
then,advmod,assigns
Client,nsubj,assigns
hereby,advmod,assigns
assigns,ROOT,assigns
to,prep,assigns
DataKind,pobj,to
all,dobj,assigns
of,prep,all
its,poss,right
"
",dep,right
right,pobj,of
",",punct,right
title,conj,right
and,cc,title
interest,conj,title
in,prep,right
and,cc,right
to,conj,right
such,amod,Product
Work,compound,Product
Product,pobj,to
.,punct,assigns
Client,nsubj,provide
shall,aux,provide
provide,ROOT,provide
reasonable,amod,assistance
assistance,dobj,provide
"
",dep,assistance
to,prep,assistance
DataKind,pobj,to
",",punct,provide
at,prep,provide
DataKind,poss,request
’s,case,DataKind
request,pobj,at
(,punct,i
i,meta,perfect
),punct,i
to,aux,perfect
perfect,acl,assistance
DataKind,poss,title
’s,case,DataKind
title,dobj,perfect
in,prep,title
and,cc,in
to,conj,in
the,det,Product
Work,compound,Product
Product,pobj,to
",",punct,perfect
and,cc,perfect
"
",dep,enable
(,punct,ii
ii,meta,applicable
),punct,ii
where,advmod,applicable
applicable,acomp,"
"
",",punct,"
"
to,aux,enable
enable,conj,perfect
DataKind,dobj,enable
or,cc,DataKind
its,poss,nominee
nominee,conj,DataKind
to,aux,obtain
obtain,xcomp,enable
and,cc,obtain
maintain,conj,obtain
copyright,dobj,maintain
",",punct,copyright
patent,conj,copyright
"
",dep,patent
or,cc,patent
other,amod,protection
legal,amod,protection
protection,conj,patent
therefore,advmod,maintain
anywhere,advmod,maintain
in,prep,anywhere
the,det,world
world,pobj,in
.,punct,provide
For,prep,include
the,det,avoidance
avoidance,pobj,For
of,prep,avoidance
doubt,pobj,of
",",punct,include
“,punct,include
Work,compound,Product
"
",dep,Product
Product,nsubj,include
”,punct,include
does,aux,include
not,neg,include
include,ROOT,include
any,det,information
information,dobj,include
",",punct,information
data,conj,information
",",punct,data
materials,conj,data
and/or,cc,materials
intellectual,amod,property
property,conj,materials
provided,acl,information
"
",dep,provided
by,agent,provided
Client,pobj,by
to,prep,provided
DataKind,pobj,to
to,aux,assist
assist,advcl,provided
DataKind,dobj,assist
with,prep,assist
performing,pcomp,with
the,det,Services
Services,dobj,performing
(,punct,Services
the,det,Content
“,punct,Content
Client,compound,Content
Content,appos,Services
”,punct,Content
),punct,Services
",",punct,information
"
",dep,information
including,prep,information
",",punct,including
without,prep,including
limitation,pobj,without
",",punct,including
any,det,information
information,pobj,including
",",punct,information
data,conj,information
",",punct,data
or,cc,data
materials,conj,data
provided,acl,information
by,agent,provided
Client,pobj,by
to,prep,provided
DataKind,pobj,to
"
",dep,information
under,prep,information
that,det,Agreement
Mutual,compound,Agreement
Non,compound,Agreement
-,compound,Agreement
Disclosure,compound,Agreement
Agreement,pobj,under
between,prep,Agreement
the,det,parties
parties,pobj,between
dated,acl,Agreement
June,npadvmod,dated
21,nummod,June
",",punct,June
2021,nummod,June
(,punct,information
the,det,Agreement
"
",dep,Agreement
“,punct,Agreement
Mutual,compound,Agreement
Non,compound,Agreement
-,compound,Agreement
Disclosure,compound,Agreement
Agreement,appos,information
”,punct,Agreement
),punct,information
.,punct,include
Client,nsubj,retains
retains,ROOT,retains
all,det,rights
rights,dobj,retains
to,prep,rights
the,det,Content
Client,compound,Content
Content,pobj,to
and,cc,Content
its,poss,use
use,conj,Content
",",punct,rights
"
",dep,retains
including,prep,retains
",",punct,including
to,prep,including
the,det,extent
extent,pobj,to
that,advmod,contains
the,det,Product
Work,compound,Product
Product,nsubj,contains
contains,acl,extent
Client,compound,Content
Content,dobj,contains
",",punct,including
how,advmod,used
the,det,Product
Work,compound,Product
Product,nsubjpass,used
"
",dep,used
may,aux,used
be,auxpass,used
used,ccomp,including
by,agent,used
DataKind,pobj,by
.,punct,retains
"

",dep,grants
(,punct,grants
b,meta,grants
),punct,b
DataKind,nsubj,grants
hereby,advmod,grants
grants,ROOT,grants
Client,dative,grants
a,det,license
non,amod,license
-,amod,license
exclusive,amod,license
",",punct,license
perpetual,amod,license
",",punct,license
royalty,npadvmod,free
-,punct,free
free,amod,license
",",punct,license
"
",dep,paid
paid,amod,license
-,punct,paid
up,prt,paid
license,dobj,grants
to,prep,license
any,det,Product
Work,compound,Product
Product,pobj,to
",",punct,license
with,prep,license
the,det,right
right,pobj,with
to,aux,grant
grant,acl,right
sublicenses,dobj,grant
",",punct,sublicenses
to,aux,make
make,acl,sublicenses
",",punct,make
have,aux,made
made,dep,make
",",punct,made
"
",dep,made
use,conj,make
",",punct,use
sell,conj,use
",",punct,sell
offer,conj,sell
to,aux,sell
sell,xcomp,offer
",",punct,sell
import,conj,sell
",",punct,import
copy,conj,import
",",punct,copy
distribute,conj,copy
and,cc,distribute
modify,conj,distribute
such,amod,Product
Work,compound,Product
Product,dobj,modify
as,mark,necessary
necessary,advcl,modify
in,prep,necessary
"
",dep,in
connection,pobj,in
with,prep,connection
Client,poss,business
’s,case,Client
business,pobj,with
.,punct,grants
"

",dep,grants
(,punct,grants
c,meta,grants
),punct,c
Client,nsubj,grants
hereby,advmod,grants
grants,ROOT,grants
DataKind,dative,grants
a,det,license
non,amod,license
-,amod,license
exclusive,amod,license
",",punct,license
royalty,npadvmod,free
-,punct,free
free,amod,license
",",punct,paid
paid,amod,license
-,punct,paid
up,prt,paid
"
",dep,paid
license,dobj,grants
",",punct,grants
during,prep,grants
the,det,term
term,pobj,during
of,prep,term
this,det,Agreement
Agreement,pobj,of
",",punct,grants
to,aux,use
use,acl,license
the,det,Content
Client,compound,Content
Content,dobj,use
solely,advmod,necessary
as,mark,necessary
necessary,advcl,use
for,mark,perform
"
",dep,perform
DataKind,nsubj,perform
to,aux,perform
perform,advcl,necessary
the,det,Services
Services,dobj,perform
",",punct,for
and,cc,for
not,neg,for
for,prep,use
any,det,purpose
other,amod,purpose
purpose,pobj,for
.,punct,grants
"

",dep,agrees
5,meta,Publicity
.,punct,5
Publicity,dep,agrees
",",punct,agrees
Client,nsubj,agrees
agrees,ROOT,agrees
that,mark,issue
DataKind,nsubj,issue
may,aux,issue
issue,ccomp,agrees
press,compound,releases
releases,dobj,issue
and,cc,issue
make,conj,issue
other,amod,announcements
"
",dep,announcements
public,amod,announcements
announcements,dobj,make
or,cc,announcements
communications,conj,announcements
to,prep,announcements
third,amod,parties
parties,pobj,to
discussing,acl,announcements
its,poss,relationship
relationship,dobj,discussing
with,prep,relationship
Client,pobj,with
"
",dep,Client
and,cc,Client
the,det,Services
Services,conj,Client
subject,oprd,discussing
to,prep,subject
the,det,approval
prior,amod,approval
written,amod,approval
approval,pobj,to
of,prep,approval
Client,pobj,of
.,punct,agrees
DataKind,nsubj,agrees
agrees,ROOT,agrees
that,mark,issue
Client,nsubj,issue
may,aux,issue
"
",dep,issue
issue,ccomp,agrees
press,compound,releases
releases,dobj,issue
and,cc,issue
make,conj,issue
other,amod,announcements
public,amod,announcements
announcements,dobj,make
or,cc,announcements
communications,conj,announcements
to,prep,announcements
third,amod,parties
parties,pobj,to
"
",dep,make
discussing,acl,announcements
its,poss,relationship
relationship,dobj,discussing
with,prep,relationship
DataKind,pobj,with
and,cc,DataKind
the,det,Services
Services,conj,DataKind
subject,amod,relationship
to,prep,subject
the,det,approval
prior,amod,approval
written,amod,approval
approval,pobj,to
of,prep,approval
"
",dep,of
DataKind,pobj,of
.,punct,agrees
"

",dep,Representations
6,meta,Representations
.,punct,6
Representations,ROOT,Representations
and,cc,Representations
Warranties,conj,Representations
.,punct,Warranties
"

",dep,warrants
(,punct,warrants
a,meta,warrants
),punct,a
DataKind,nsubj,warrants
hereby,advmod,warrants
warrants,ROOT,warrants
",",punct,warrants
represents,conj,warrants
",",punct,represents
and,cc,represents
covenants,conj,represents
to,prep,covenants
Client,pobj,to
that,mark,has
"
",dep,has
Datakind,nsubj,has
has,ccomp,covenants
the,det,right
right,dobj,has
to,aux,enter
enter,acl,right
into,prep,enter
this,det,Agreement
Agreement,pobj,into
and,cc,enter
perform,conj,enter
its,poss,obligations
obligations,dobj,perform
herein,advmod,perform
.,punct,warrants
DataKind,nsubj,warrants
"
",dep,warrants
further,amod,warrants
warrants,ROOT,warrants
",",punct,warrants
represents,conj,warrants
",",punct,represents
and,cc,represents
covenants,conj,represents
to,prep,covenants
Client,pobj,to
:,punct,covenants
(,punct,i
i,meta,are
),punct,i
that,mark,are
DataKind,nsubj,are
and,cc,DataKind
those,conj,DataKind
acting,acl,those
on,prep,acting
its,poss,"
"
"
",dep,on
behalf,pobj,on
in,prep,acting
performing,pcomp,in
the,det,Services
Services,dobj,performing
are,conj,warrants
expert,attr,are
in,prep,expert
performing,pcomp,in
the,det,Services
Services,dobj,performing
referred,acl,Services
to,prep,referred
by,agent,referred
this,det,Agreement
"
",dep,Agreement
Agreement,pobj,by
;,punct,are
(,punct,ii
ii,meta,are
),punct,ii
that,mark,are
DataKind,nsubj,are
and,cc,DataKind
those,conj,DataKind
acting,acl,those
on,prep,acting
its,poss,behalf
behalf,pobj,on
in,prep,acting
performing,pcomp,in
the,det,Services
Services,dobj,performing
are,conj,warrants
"


",dep,warrants
#,punct,warrants
#,punct,warrants
Services_Agreement_-_Datakind_-_JJC_-_2022.02.15_AF_JD_Redacted_page_3,punct,warrants
"
",dep,warrants
DataKind,punct,warrants
"

",dep,warrants
licensed,conj,warrants
as,mark,required
may,aux,required
be,auxpass,required
required,advcl,licensed
by,agent,required
all,det,authorities
applicable,amod,authorities
authorities,pobj,by
in,prep,authorities
the,det,State
State,pobj,in
of,prep,State
New,compound,York
York,pobj,of
and,cc,State
the,det,City
City,conj,State
of,prep,City
"
",dep,of
New,compound,York
York,pobj,of
",",punct,required
as,mark,be
the,det,case
case,nsubj,be
may,aux,be
be,advcl,required
",",punct,required
to,aux,perform
perform,advcl,warrants
the,det,Services
Services,dobj,perform
and,cc,warrants
that,mark,performed
all,det,Services
Services,nsubjpass,performed
shall,aux,performed
be,auxpass,performed
performed,conj,warrants
"
",dep,performed
in,prep,performed
accordance,pobj,in
with,prep,accordance
applicable,amod,law
law,pobj,with
;,punct,performed
and,cc,performed
(,punct,iii
iii,meta,are
),punct,iii
that,mark,are
DataKind,nsubj,are
and,cc,DataKind
those,conj,DataKind
acting,acl,those
on,prep,acting
its,poss,behalf
behalf,pobj,on
in,prep,acting
"
",dep,in
performing,pcomp,in
the,det,Services
Services,dobj,performing
are,conj,performed
not,neg,are
on,prep,are
the,det,list
“,punct,Entities
Entities,nmod,list
Determined,acl,Entities
To,aux,Be
Be,xcomp,Determined
Non,amod,Offerers
-,amod,Offerers
Responsive,amod,Offerers
"
",dep,Offerers
Bidders,nmod,Offerers
/,punct,Offerers
Offerers,attr,Be
Pursuant,amod,Offerers
to,prep,Pursuant
The,det,Act
New,compound,York
York,compound,State
State,compound,Act
Iran,compound,Divestment
Divestment,nmod,Act
Act,pobj,to
of,prep,Act
2012,pobj,of
”,punct,list
list,pobj,on
published,acl,list
by,agent,published
"
",dep,by
the,det,Office
New,compound,York
York,compound,State
State,compound,Office
Office,pobj,by
of,prep,Office
General,compound,Services
Services,pobj,of
.,punct,warrants
"

",dep,warrants
(,punct,warrants
b,meta,warrants
),punct,b
Client,nsubj,warrants
hereby,advmod,warrants
warrants,ROOT,warrants
",",punct,warrants
represents,conj,warrants
",",punct,represents
and,cc,represents
covenants,conj,represents
to,prep,covenants
DataKind,pobj,to
that,mark,has
"
",dep,has
Client,nsubj,has
has,ccomp,covenants
the,det,right
right,dobj,has
to,aux,enter
enter,acl,right
into,prep,enter
this,det,Agreement
Agreement,pobj,into
and,cc,enter
perform,conj,enter
its,poss,obligations
obligations,dobj,perform
herein,advmod,perform
.,punct,warrants
"

",dep,Confidentiality
7,meta,Confidentiality
.,punct,7
Confidentiality,ROOT,Confidentiality
.,punct,Confidentiality
The,det,Purpose
Purpose,nsubjpass,expanded
as,mark,defined
defined,advcl,Purpose
by,agent,defined
the,det,Agreement
Mutual,compound,Agreement
Non,compound,Agreement
-,compound,Agreement
Disclosure,compound,Agreement
"
",dep,Agreement
Agreement,pobj,by
effective,amod,Agreement
as,prep,effective
of,prep,as
June,pobj,of
21,nummod,June
",",punct,June
2021,nummod,June
(,punct,Purpose
“,punct,MNDA
MNDA,appos,Purpose
’,punct,MNDA
”,punct,MNDA
),punct,Purpose
is,auxpass,expanded
expanded,ROOT,expanded
to,aux,include
include,xcomp,expanded
the,det,Services
Services,dobj,include
as,mark,defined
"
",dep,defined
defined,advcl,Services
by,agent,defined
this,det,Agreement
Agreement,pobj,by
.,punct,expanded
The,det,Parties
Parties,poss,obligations
’,case,Parties
obligations,nsubjpass,set
with,prep,obligations
respect,pobj,with
to,prep,respect
confidentiality,pobj,to
are,auxpass,set
set,ROOT,set
forth,prt,set
in,prep,set
"
",dep,in
the,det,MNDA
MNDA,pobj,in
",",punct,MNDA
which,nsubjpass,incorporated
is,auxpass,incorporated
incorporated,relcl,MNDA
herein,advmod,incorporated
by,prep,incorporated
reference,pobj,by
",",punct,incorporated
in,prep,incorporated
its,poss,entirety
entirety,pobj,in
.,punct,set
Schedule,compound,B
B,nsubj,is
is,ROOT,is
a,det,list
list,attr,is
of,prep,list
"
",dep,of
volunteers,pobj,of
engaged,acl,volunteers
by,agent,engaged
DataKind,pobj,by
to,aux,perform
perform,xcomp,engaged
the,det,Services
Services,dobj,perform
and,cc,engaged
bound,conj,engaged
by,agent,bound
the,det,MNDA
MNDA,pobj,by
",",punct,bound
pursuant,conj,bound
to,prep,pursuant
"
",dep,paragraph
paragraph,pobj,to
3,nummod,paragraph
of,prep,paragraph
the,det,MNDA
MNDA,pobj,of
.,punct,is
Datakind,nsubj,add
shall,aux,add
",",punct,add
from,prep,add
time,pobj,from
to,prep,from
time,pobj,to
and,cc,from
as,mark,necessary
necessary,conj,from
",",punct,add
add,ROOT,add
individuals,dobj,add
to,prep,add
"
",dep,to
Schedule,compound,B.
B.,pobj,to
"

",dep,add
8,punct,add
.,punct,8
Liability,dobj,add
:,punct,Liability
Indemnification,appos,Liability
.,punct,Liability
"

",dep,"

"
(,ROOT,(
a,ROOT,a
),ROOT,)
Subject,advcl,hold
to,prep,Subject
the,det,availability
availability,pobj,to
of,prep,availability
lawful,amod,appropriations
appropriations,pobj,of
and,cc,Subject
consistent,conj,Subject
with,prep,consistent
"

",dep,Section
Section,pobj,with
8,nummod,Section
of,prep,Section
the,det,Court
New,compound,York
York,compound,State
State,compound,Court
Court,pobj,of
of,prep,Court
Claims,pobj,of
Act,pobj,of
",",punct,hold
Client,nsubj,hold
shall,aux,hold
