token,dep,head
product,dobj,make
or,cc,product
other,amod,item
item,conj,product
using,acl,product
",",punct,using
incorporating,dep,using
or,cc,incorporating
derived,conj,incorporating
from,prep,derived
the,det,Data
Data,pobj,from
",",punct,product
other,conj,use
than,prep,other
for,prep,than
the,det,use
permiited,amod,use
"
",dep,use
use,pobj,for
set,acl,use
forth,prt,set
in,prep,set
Exhibits,compound,A
A,pobj,in
and,cc,A
B,conj,A
to,prep,A
this,det,Agreement
Agreement,pobj,to
.,punct,use
Recipient,nsubj,agrees
agrees,ROOT,agrees
that,mark,apply
it,nsubj,apply
will,aux,apply
not,neg,apply
apply,ccomp,agrees
or,cc,apply
file,conj,apply
"
",dep,file
for,prep,file
any,det,protection
intellectual,amod,property
property,compound,protection
protection,pobj,for
",",punct,protection
including,prep,protection
without,prep,including
limitation,pobj,without
",",punct,including
copyright,nmod,protection
or,cc,copyright
patent,conj,copyright
"
",dep,copyright
protection,pobj,including
",",punct,including
in,prep,including
any,det,jurisdiction
jurisdiction,pobj,in
",",punct,protection
for,prep,protection
the,det,Data
Data,pobj,for
or,cc,protection
any,det,development
patentable,amod,development
development,conj,protection
or,cc,development
discovery,conj,development
resulting,acl,development
"
",dep,resulting
from,prep,resulting
its,poss,use
use,pobj,from
of,prep,use
the,det,Data
Data,pobj,of
",",punct,protection
without,prep,protection
the,det,approval
prior,amod,approval
written,amod,approval
approval,pobj,without
of,prep,approval
CUNY,pobj,of
.,punct,agrees
"

",dep,"

"
2,punct,"

"
.,punct,2
Permitted,amod,Use
Use,ROOT,Use
.,punct,Use
Recipient,nsubj,use
shall,aux,use
use,ROOT,use
the,det,Data
Data,dobj,use
solely,advmod,for
for,prep,use
not,neg,for
-,punct,for
for,nmod,purposes
-,punct,for
profit,pobj,for
purposes,pobj,for
by,prep,use
the,det,Investigator
"
",dep,Investigator
Principal,compound,Investigator
Investigator,pobj,by
at,prep,Investigator
the,det,Institution
Institution,pobj,at
as,mark,described
further,advmod,described
described,advcl,use
in,prep,described
Exhibits,compound,A
A,pobj,in
and,cc,A
B,conj,A
to,prep,A
this,det,Agreement
"
",dep,Agreement
Agreement,pobj,to
(,punct,Agreement
“,punct,Agreement
Permitted,amod,Use
Use,appos,Agreement
”,punct,Use
),punct,Agreement
.,punct,use
Any,det,use
other,amod,use
use,nsubjpass,prohibited
of,prep,use
the,det,Data
Data,pobj,of
is,auxpass,prohibited
prohibited,ROOT,prohibited
.,punct,prohibited
For,prep,prohibited
the,det,avoidance
avoidance,pobj,For
of,prep,avoidance
"
",dep,of
doubt,pobj,of
",",punct,prohibited
Recipient,nsubjpass,prohibited
is,auxpass,prohibited
prohibited,ROOT,prohibited
from,prep,prohibited
making,pcomp,from
any,det,use
profit,npadvmod,making
-,punct,making
making,amod,use
or,cc,making
commercial,conj,making
use,dobj,making
of,prep,use
the,det,Data
Data,pobj,of
",",punct,making
"
",dep,making
whether,preconj,in
alone,advmod,in
",",punct,in
in,prep,making
collaboration,pobj,in
with,prep,collaboration
any,det,party
party,pobj,with
",",punct,in
or,cc,in
through,conj,in
a,det,contractor
contractor,pobj,through
or,cc,contractor
agent,conj,contractor
.,punct,prohibited
However,advmod,retains
",",punct,retains
"
",dep,retains
CUNY,nsubj,retains
retains,ROOT,retains
the,det,right
unrestricted,amod,right
right,dobj,retains
to,aux,distribute
distribute,acl,right
the,det,Data
Data,dobj,distribute
to,prep,distribute
others,pobj,to
",",punct,others
whether,mark,commercial
commercial,amod,others
or,cc,commercial
"

",dep,entities
noncommercia,amod,entities
],punct,entities
entities,conj,commercial
.,punct,retains
"
",dep,Users
3,meta,Users
.,punct,3
Authorized,amod,Users
Users,ROOT,Users
.,punct,Users
"

",dep,limit
(,punct,limit
a,meta,limit
),punct,Recipient
Recipient,nsubj,limit
shall,aux,limit
limit,ROOT,limit
access,dobj,limit
to,prep,access
the,det,Data
Data,pobj,to
to,prep,limit
the,det,Investigator
Principal,compound,Investigator
Investigator,pobj,to
and,cc,Investigator
those,det,individuals
"
",dep,individuals
individuals,conj,Investigator
affiliated,acl,individuals
with,prep,affiliated
and,cc,affiliated
working,conj,affiliated
within,prep,working
the,det,Institution
Institution,pobj,within
under,prep,working
the,det,supervision
supervision,pobj,under
of,prep,supervision
Principal,compound,Investigator
"
",dep,Investigator
Investigator,pobj,of
who,nsubjpass,listed
are,auxpass,listed
listed,relcl,individuals
on,prep,listed
Exhibit,compound,C
C,pobj,on
to,prep,C
this,det,Agreement
Agreement,pobj,to
and,cc,listed
have,aux,accepted
also,advmod,accepted
accepted,conj,listed
the,det,terms
terms,dobj,accepted
of,prep,terms
"
",dep,of
this,det,Agreement
Agreement,pobj,of
(,punct,listed
each,nsubj,Investigator
a,det,Investigator
“,punct,Investigator
Project,compound,Investigator
Investigator,oprd,listed
”,punct,Investigator
and,cc,Investigator
collectively,advmod,with
with,conj,Investigator
the,det,Investigator
Principal,compound,Investigator
Investigator,pobj,with
",",punct,Investigator
"
",dep,Users
“,punct,Users
Authorized,amod,Users
Users,conj,listed
”,punct,Users
),punct,listed
.,punct,limit
Recipient,nsubj,refer
shall,aux,refer
refer,ROOT,refer
to,prep,refer
CUNY,pobj,to
any,det,request
request,dobj,refer
for,prep,request
access,pobj,for
to,prep,access
the,det,Data
Data,pobj,to
from,prep,request
"
",dep,from
anyone,pobj,from
other,amod,anyone
than,prep,other
the,det,Users
Authorized,compound,Users
Users,pobj,than
.,punct,refer
"

",dep,notify
(,punct,b
b,meta,notify
),punct,b
Recipient,nsubj,notify
shall,aux,notify
immediately,advmod,notify
notify,ROOT,notify
CUNY,dobj,notify
if,mark,becomes
it,nsubj,becomes
becomes,advcl,notify
aware,acomp,becomes
that,mark,failed
any,nsubj,failed
of,prep,any
the,det,Users
"
",dep,Users
Authorized,compound,Users
Users,pobj,of
has,aux,failed
failed,ccomp,becomes
to,aux,comply
comply,xcomp,failed
with,prep,comply
the,det,terms
terms,pobj,with
of,prep,terms
this,det,Agreement
Agreement,pobj,of
and/or,cc,failed
has,aux,compromised
compromised,conj,failed
"
",dep,compromised
the,det,privacy
privacy,dobj,compromised
and,cc,privacy
security,conj,privacy
of,prep,privacy
the,det,Data
Data,pobj,of
.,punct,notify
In,prep,comply
such,amod,event
event,pobj,In
",",punct,comply
Recipient,nsubj,comply
shall,aux,comply
comply,ROOT,comply
with,prep,comply
Section,pobj,with
4(c,nummod,Section
),punct,Section
of,prep,Section
"
",dep,Agreement
this,det,Agreement
Agreement,pobj,of
and,cc,comply
CUNY,nsubj,remove
",",punct,remove
at,prep,remove
its,poss,option
sole,amod,option
option,pobj,at
",",punct,remove
may,aux,remove
immediately,advmod,remove
remove,conj,comply
such,amod,user
user,dobj,remove
from,prep,remove
the,det,list
list,pobj,from
of,prep,list
"
",dep,Users
Authorized,amod,Users
Users,pobj,of
and,cc,remove
immediately,advmod,terminate
terminate,conj,remove
such,amod,user
user,poss,access
’s,case,user
access,dobj,terminate
to,prep,access
the,det,Data
Data,pobj,to
.,punct,remove
"


",dep,disclose
#,punct,disclose
#,punct,DataKindAgreements__page_2
DataKindAgreements__page_2,nmod,disclose
"
",dep,disclose
(,punct,disclose
c,prep,(
),punct,c
Except,prep,disclose
as,mark,permitted
permitted,pcomp,Except
by,agent,permitted
this,det,Section
Section,pobj,by
3,nummod,Section
",",punct,disclose
Recipient,nsubj,disclose
shall,aux,disclose
not,neg,disclose
directly,advmod,"
"
or,cc,directly
indirectly,conj,directly
"
",dep,disclose
disclose,ROOT,disclose
",",punct,disclose
distribute,conj,disclose
",",punct,distribute
or,cc,distribute
otherwise,advmod,allow
allow,conj,distribute
any,det,party
third,amod,party
party,nsubj,have
to,aux,have
have,ccomp,allow
access,dobj,have
to,prep,access
any,pobj,to
of,prep,any
the,det,Data
Data,pobj,of
without,prep,allow
"
",dep,party
such,amod,party
third,amod,party
party,nsubj,executing
executing,pcomp,without
a,det,agreement
data,nmod,transfer
transfer,nmod,agreement
and,cc,transfer
non,conj,transfer
-,conj,transfer
disclosure,conj,transfer
agreement,dobj,executing
with,prep,executing
CUNY,pobj,with
under,prep,executing
the,det,terms
"
",dep,same
same,amod,terms
terms,pobj,under
",",punct,terms
or,cc,terms
terms,conj,terms
at,advmod,least
least,advmod,restrictive
as,advmod,restrictive
restrictive,amod,terms
",",punct,terms
as,mark,set
set,acl,terms
forth,prt,set
in,prep,set
this,det,Agreement
Agreement,pobj,in
.,punct,disclose
It,nsubj,is
is,ROOT,is
solely,advmod,is
within,prep,is
"
",dep,discretion
CUNY,poss,discretion
’s,case,CUNY
discretion,pobj,within
to,aux,enter
enter,xcomp,is
into,prep,enter
such,amod,agreement
data,nmod,transfer
transfer,nmod,agreement
and,cc,transfer
nondisclosure,conj,transfer
agreement,pobj,into
.,punct,is
"

",dep,Safeguards
4,meta,Safeguards
.,meta,Safeguards
Safeguards,ROOT,Safeguards
and,cc,Safeguards
Notification,conj,Safeguards
.,punct,Safeguards
"
",dep,be
(,punct,be
a,meta,be
),punct,be
_,punct,be
All,det,transmissions
transmissions,nsubj,be
of,prep,transmissions
the,det,Data
Data,pobj,of
shall,aux,be
be,ROOT,be
by,prep,be
secure,amod,transfer
electronic,amod,transfer
transfer,pobj,by
.,punct,be
"

",dep,use
(,punct,use
b,meta,use
),punct,b
Recipient,nsubj,use
shall,aux,use
use,ROOT,use
appropriate,amod,measures
administrative,amod,measures
",",punct,administrative
technical,conj,administrative
and,cc,technical
physical,conj,technical
measures,dobj,use
to,aux,"
"
"
",dep,use
safeguard,advcl,use
and,cc,safeguard
keep,conj,safeguard
the,det,Data
Data,dobj,keep
confidential,oprd,keep
and,cc,confidential
secure,conj,confidential
",",punct,keep
including,prep,keep
without,prep,including
limitation,pobj,without
:,punct,including
"

",dep,limiting
(,punct,i
i,meta,limiting
),punct,i
limiting,advcl,use
access,dobj,limiting
to,prep,access
the,det,Data
Data,pobj,to
to,prep,limiting
Authorized,amod,Users
Users,pobj,to
:,punct,limiting
"

",dep,storing
(,punct,storing
ii,meta,storing
},punct,ii
storing,conj,limiting
the,det,Data
Data,dobj,storing
in,prep,storing
secure,amod,files
files,pobj,in
that,nsubj,are
are,relcl,files
access,npadvmod,restricted
-,punct,restricted
restricted,acomp,are
through,prep,are
"
",dep,passwords
passwords,pobj,through
and/or,cc,passwords
encryption,conj,passwords
known,acl,passwords
only,advmod,to
to,prep,known
Authorized,amod,Users
Users,pobj,to
;,punct,storing
"

",dep,use
(,punct,iii
iii,meta,encrypting
),punct,iii
encrypting,conj,use
any,det,computer
personal,amod,computer
computer,dobj,encrypting
",",punct,computer
tablet,conj,computer
",",punct,tablet
portable,amod,device
storage,compound,device
device,conj,tablet
",",punct,device
or,cc,device
other,amod,tool
"
",dep,tool
mobile,compound,storage
storage,compound,tool
tool,conj,device
used,acl,computer
to,aux,store
store,xcomp,used
and/or,cc,store
transmit,conj,store
the,det,Data
Data,dobj,transmit
",",punct,computer
with,prep,computer
the,det,key
decryption,compound,key
key,pobj,with
known,acl,key
only,advmod,"
"
"
",dep,known
by,agent,known
Authorized,amod,Users
Users,pobj,by
;,punct,computer
"

",dep,maintaining
(,punct,maintaining
iv,meta,maintaining
),punct,iv
when,advmod,in
not,neg,in
in,advcl,maintaining
use,pobj,in
",",punct,in
maintaining,conj,encrypting
all,det,versions
hardcopy,compound,versions
versions,dobj,maintaining
of,prep,versions
the,det,Data
Data,pobj,of
",",punct,versions
as,advmod,as
well,advmod,as
as,cc,versions
"
",dep,computers
any,amod,computers
personal,amod,computers
computers,conj,maintaining
",",punct,computers
tablets,conj,computers
",",punct,tablets
portable,amod,devices
storage,compound,devices
devices,conj,tablets
",",punct,devices
and,cc,devices
other,amod,tools
mobile,amod,storage
storage,compound,tools
tools,conj,devices
"
",dep,computers
containing,acl,computers
the,det,Data
Data,dobj,containing
",",punct,computers
in,prep,computers
locked,amod,cabinets
cabinets,pobj,in
",",punct,cabinets
file,compound,drawers
drawers,conj,cabinets
",",punct,drawers
or,cc,drawers
other,amod,locations
secure,amod,locations
locations,conj,drawers
at,prep,cabinets
Recipient,nmod,facilities
’s,case,Recipient
or,cc,Recipient
"
",dep,facilities
its,nmod,facilities
Authorized,compound,Users
Users,poss,facilities
’,case,Users
facilities,pobj,at
",",punct,cabinets
accessible,amod,cabinets
only,advmod,to
to,prep,accessible
Authorized,compound,Users
Users,pobj,to
",",punct,accessible
and,cc,accessible
not,neg,at
at,conj,accessible
an,det,User
Authorized,amod,User
"
",dep,Authorized
User,poss,home
’s,case,User
home,pobj,at
or,cc,home
a,det,location
third,amod,party
-,punct,party
party,compound,location
location,conj,home
;,punct,maintaining
"

",dep,v
(,punct,v
v,dep,maintaining
),punct,v
requiring,acl,v
that,mark,used
all,det,versions
hardcopy,amod,versions
versions,nsubjpass,used
of,prep,versions
the,det,Data
Data,pobj,of
",",punct,versions
as,advmod,as
well,advmod,as
as,cc,versions
any,det,computers
personal,amod,computers
"
",dep,computers
computers,conj,versions
",",punct,computers
tablets,conj,computers
",",punct,tablets
portable,amod,devices
storage,compound,devices
devices,conj,tablets
",",punct,devices
and,cc,devices
other,amod,tools
mobile,amod,storage
storage,compound,tools
tools,conj,devices
containing,acl,tools
the,det,Data
Data,dobj,containing
",",punct,used
"
",dep,used
be,auxpass,used
used,ccomp,requiring
only,advmod,in
in,prep,used
secure,amod,locations
locations,pobj,in
at,prep,locations
Recipient,poss,facilities
’s,case,Recipient
or,cc,Recipient
its,poss,Users
Authorized,compound,Users
Users,conj,Recipient
’,case,Users
facilities,pobj,at
",",punct,locations
accessible,amod,locations
only,advmod,"
"
"
",dep,accessible
to,prep,accessible
Authorized,compound,Users
Users,pobj,to
",",punct,locations
and,cc,locations
not,neg,at
at,conj,locations
an,det,User
Authorized,compound,User
User,poss,home
’s,case,User
home,pobj,at
or,cc,home
a,det,location
third,amod,party
-,punct,party
party,compound,location
location,conj,home
;,punct,used
and,cc,used
:,punct,used
"

",dep,used
(,punct,vi
vi,punct,use
),punct,vi
.,punct,vi
_,punct,establishing
establishing,conj,use
procedures,dobj,establishing
to,aux,help
help,relcl,procedures
ensure,xcomp,help
that,mark,extracted
the,det,Data
Data,nsubjpass,extracted
can,aux,extracted
not,neg,extracted
be,auxpass,extracted
extracted,ccomp,ensure
"
",dep,extracted
from,prep,extracted
a,det,mainframe
computer,compound,mainframe
mainframe,pobj,from
",",punct,mainframe
remote,amod,terminal
terminal,conj,mainframe
",",punct,terminal
personal,amod,computer
computer,conj,terminal
",",punct,computer
tablet,conj,computer
",",punct,tablet
portable,amod,storage
storage,compound,device
device,conj,tablet
",",punct,device
"
",dep,device
or,cc,device
other,amod,tool
mobile,amod,storage
storage,compound,tool
tool,conj,device
",",punct,mainframe
by,agent,extracted
unauthorized,amod,individuals
individuals,pobj,by
.,punct,establishing
"

",dep,report
(,punct,report
c,meta,report
),punct,c
Recipient,nsubj,report
shall,aux,report
promptly,advmod,report
report,ROOT,report
in,prep,report
writing,pobj,in
to,prep,report
CUNY,pobj,to
any,det,inadvertent
unauthorized,amod,inadvertent
or,cc,unauthorized
"
",dep,unauthorized
inadvertent,dobj,report
use,dobj,report
or,cc,use
disclosure,conj,use
of,prep,use
the,det,Data
Data,pobj,of
by,prep,use
Recipient,pobj,by
",",punct,Recipient
an,det,User
Authorized,amod,User
User,conj,Recipient
or,cc,User
Recipient,poss,employees
’s,case,Recipient
other,amod,employees
"
",dep,employees
employees,conj,User
",",punct,employees
representatives,conj,employees
",",punct,representatives
agents,conj,representatives
and/or,cc,agents
contractors,conj,agents
in,prep,use
violation,pobj,in
of,prep,violation
this,det,Agreement
Agreement,pobj,of
",",punct,use
including,prep,use
"
",dep,including
any,det,action
remedial,amod,action
action,pobj,including
taken,acl,action
by,agent,taken
Recipient,pobj,by
.,punct,report
Recipient,nsubj,make
shall,aux,make
make,ROOT,make
such,amod,report
report,dobj,make
within,prep,make
three,nummod,days
(,punct,3
3,nummod,days
),punct,days
"
",dep,days
business,compound,days
days,pobj,within
after,mark,becomes
Recipient,nsubj,becomes
becomes,advcl,days
aware,acomp,becomes
of,prep,aware
the,det,use
unauthorized,amod,use
or,cc,unauthorized
inadvertent,conj,unauthorized
use,pobj,of
or,cc,use
disclosure,conj,use
.,punct,make
"
",dep,cooperate
Recipient,nsubj,cooperate
shall,aux,cooperate
cooperate,ROOT,cooperate
with,prep,cooperate
any,det,investigation
investigation,pobj,with
conducted,acl,investigation
by,agent,conducted
CUNY,pobj,by
or,cc,CUNY
its,poss,agents
agents,conj,CUNY
of,prep,cooperate
any,det,use
"
",dep,use
unauthorized,amod,use
use,pobj,of
or,cc,use
inadvertent,amod,disclosure
disclosure,conj,use
.,punct,cooperate
"

",dep,have
(,punct,have
d,meta,have
),punct,d
Representatives,nsubj,have
of,prep,Representatives
CUNY,pobj,of
shall,aux,have
have,ROOT,have
the,det,right
right,dobj,have
to,aux,enter
enter,acl,right
the,det,premises
premises,dobj,enter
of,prep,premises
Recipient,pobj,of
"
",dep,enter
and,cc,enter
to,aux,take
take,conj,enter
such,amod,steps
other,amod,steps
steps,dobj,take
to,aux,examine
examine,relcl,steps
Recipient,poss,use
’s,case,Recipient
use,dobj,examine
and,cc,use
security,conj,use
of,prep,use
the,det,Data
Data,pobj,of
as,mark,are
are,advcl,take
"
",dep,are
reasonably,advmod,necessary
necessary,acomp,are
to,aux,assess
assess,xcomp,necessary
and,cc,assess
ensure,conj,assess
Recipient,poss,compliance
’s,case,Recipient
compliance,dobj,ensure
with,prep,compliance
this,det,Agreement
Agreement,pobj,with
",",punct,have
"

",dep,have
2,nummod,"

"
"
",dep,have
DTA,dobj,have
&,cc,DTA
NDA,compound,OGC
OGC,conj,DTA
July,npadvmod,OGC
2016,nummod,July
"


",dep,have
#,punct,DataKindAgreements__page_3
#,punct,#
DataKindAgreements__page_3,punct,have
"
",dep,have
including,prep,have
compliance,pobj,including
with,prep,compliance
applicable,amod,law
law,pobj,with
and,cc,law
security,compound,protocols
protocols,conj,law
.,punct,have
Upon,prep,provide
request,pobj,Upon
by,prep,request
CUNY,pobj,by
",",punct,provide
"
",dep,provide
Recipient,nsubj,provide
will,aux,provide
promptly,advmod,provide
provide,ROOT,provide
access,dobj,provide
and,cc,provide
respond,conj,provide
to,prep,respond
CUNY,compound,inquiries
inquiries,pobj,to
regarding,prep,inquiries
privacy,pobj,regarding
and,cc,privacy
"
",dep,privacy
security,conj,privacy
of,prep,privacy
the,det,Data
Data,pobj,of
.,punct,provide
"

",dep,"

"
5,meta,Publication
.,punct,5
Publication,appos,"

"
.,punct,Publication
"

",dep,"

"
(,punct,disclose
a,meta,disclose
),punct,a
Recipient,nsubj,disclose
shall,aux,disclose
not,neg,disclose
disclose,ROOT,disclose
any,det,information
personally,advmod,identifiable
-,punct,identifiable
identifiable,amod,information
information,dobj,disclose
received,acl,information
"
",dep,received
pursuant,advmod,received
to,prep,pursuant
this,det,Agreement
Agreement,pobj,to
in,prep,received
any,det,draft
draft,pobj,in
or,cc,draft
final,amod,publication
publication,conj,draft
.,punct,disclose
"

",dep,publish
(,punct,b
b,meta,Subject
),punct,b
Subject,advcl,publish
to,prep,Subject
the,det,terms
terms,pobj,to
of,prep,terms
this,det,Agreement
Agreement,pobj,of
and,cc,Subject
consistent,conj,Subject
with,prep,consistent
the,det,Use
Permitted,amod,Use
Use,pobj,with
",",punct,publish
"
",dep,publish
Recipient,nsubj,publish
may,aux,publish
publish,ROOT,publish
or,cc,publish
publicly,advmod,present
present,conj,publish
information,dobj,present
or,cc,information
results,conj,information
relating,acl,information
to,prep,relating
the,det,Data
Data,pobj,to
or,cc,Data
studies,conj,Data
"
",dep,studies
conducted,acl,studies
with,prep,conducted
the,det,Data
Data,pobj,with
.,punct,publish
However,advmod,provide
",",punct,provide
in,prep,provide
the,det,event
event,pobj,in
that,mark,desire
Recipient,nsubj,desire
should,aux,desire
desire,acl,event
to,aux,make
make,xcomp,desire
such,predet,publication
a,det,publication
"
",dep,publication
publication,dobj,make
or,cc,publication
presentation,conj,publication
",",punct,provide
it,nsubj,provide
will,aux,provide
provide,ROOT,provide
CUNY,dobj,provide
with,prep,provide
a,det,copy
copy,pobj,with
of,prep,copy
all,det,manuscripts
manuscripts,pobj,of
or,cc,manuscripts
abstracts,conj,manuscripts
"
",dep,manuscripts
reporting,acl,manuscripts
such,amod,information
information,dobj,reporting
or,cc,information
results,conj,information
not,neg,than
less,amod,than
than,prep,reporting
thirty,quantmod,30
(,punct,30
30,nummod,days
),punct,days
days,npadvmod,prior
prior,advmod,than
to,prep,prior
publication,pobj,to
or,cc,publication
public,conj,publication
"
",dep,than
presentation,pobj,than
",",punct,provide
for,prep,provide
CUNY,poss,review
’s,case,CUNY
review,pobj,for
and,cc,review
written,amod,approval
approval,conj,review
of,prep,approval
such,amod,publishing
publishing,pobj,of
or,cc,publishing
public,amod,presentation
presentation,conj,publishing
.,punct,provide
"
",dep,agrees
Unless,mark,advises
CUNY,nsubj,advises
advises,advcl,agrees
Recipient,dobj,advises
otherwise,advmod,advises
",",punct,agrees
Recipient,nsubj,agrees
agrees,ROOT,agrees
to,aux,acknowledge
acknowledge,xcomp,agrees
CUNY,dobj,acknowledge
in,prep,acknowledge
all,det,publications
"
",dep,publications
publications,pobj,in
and,cc,publications
presentations,conj,publications
based,acl,publications
on,prep,based
the,det,use
use,pobj,on
of,prep,use
the,det,Data
Data,pobj,of
.,punct,agrees
"

",dep,Warranties
6,meta,Warranties
.,punct,6
No,det,Warranties
Warranties,ROOT,Warranties
;,punct,Warranties
No,det,License
License,appos,Warranties
:,punct,Warranties
Limitation,appos,Warranties
of,prep,Limitation
Liability,pobj,of
.,punct,Warranties
"

",dep,PROVIDED
{,punct,PROVIDED
a,meta,PROVIDED
),punct,a
THE,det,DATA
DATA,nsubjpass,PROVIDED
IS,auxpass,PROVIDED
PROVIDED,ROOT,PROVIDED
“,punct,PROVIDED
AS,prep,PROVIDED
1S,pobj,AS
”,punct,AS
AND,cc,AS
WITHOUT,conj,AS
ANY,det,WARRANTY
WARRANTY,pobj,WITHOUT
EXPRESS,amod,WARRANTY
"
",dep,WARRANTY
OR,appos,WARRANTY
IMPLIED,amod,WARRANTY
",",punct,WARRANTY
INCLUDING,prep,WARRANTY
ANY,det,WARRANTY
WARRANTY,pobj,INCLUDING
OF,prep,WARRANTY
MERCHANTABILITY,pobj,OF
OR,cc,MERCHANTABILITY
"
",dep,MERCHANTABILITY
FITNESS,appos,MERCHANTABILITY
FOR,prep,MERCHANTABILITY
A,det,PURPOSE
PARTICULAR,amod,PURPOSE
PURPOSE,pobj,FOR
OR,cc,OF
THAT,mark,INFRINGE
THE,det,USE
USE,nsubj,INFRINGE
OF,prep,USE
THE,det,DATA
DATA,pobj,OF
"
",dep,INFRINGE
WILL,aux,INFRINGE
NOT,neg,INFRINGE
INFRINGE,conj,OF
OR,cc,INFRINGE
VIOLATE,conj,INFRINGE
ANY,det,"
"
PATENT,nmod,"
"
",",punct,PATENT
COPYRIGHT,conj,PATENT
",",punct,COPYRIGHT
TRADEMARK,conj,COPYRIGHT
"
",dep,VIOLATE
OR,nmod,RIGHTS
PROPRIETARY,compound,RIGHTS
RIGHTS,dobj,VIOLATE
OF,prep,RIGHTS
ANY,det,PARTY
THIRD,amod,PARTY
PARTY,pobj,OF
.,punct,PROVIDED
"

",dep,LICENSE
(,punct,LICENSE
b,meta,LICENSE
),punct,b
NO,det,LICENSE
LICENSE,ROOT,LICENSE
.,punct,LICENSE
Transmittal,nsubjpass,deemed
of,prep,Transmittal
the,det,Data
Data,pobj,of
to,prep,Transmittal
Recipient,pobj,to
shall,aux,deemed
not,neg,deemed
be,auxpass,deemed
deemed,ROOT,deemed
a,det,sale
sale,oprd,deemed
of,prep,sale
Data,pobj,of
"
",dep,sale
