text,label
"the
State Finance Law",LAW
3.,CARDINAL
Section 112 of the State Finance Law,LAW
the State University,ORG
City University of New York,ORG
Section 355,LAW
Section 6218,LAW
the Education Law,LAW
"50,000",MONEY
the Office of the State Comptroller,ORG
S.U.N.Y.,ORG
C.U.N.Y.,ORG
State,ORG
"25,000",MONEY
State,ORG
the Office of General Services,ORG
"85,000",MONEY
State Finance Law,LAW
"§
163.6-a",LAW
October 2019 7,DATE
the Office of General Services,ORG
4.,CARDINAL
Section 142 of the State Finance Law,LAW
"the Workers'
Compensation Law",LAW
5.,CARDINAL
Article 15 of the Executive Law,LAW
the Human Rights Law,LAW
State,GPE
"the Human
Rights Law",LAW
the Human Rights Law,LAW
Section 220-e,LAW
"the
Labor Law",LAW
the State of New York,GPE
Contractor,ORG
"New
York State",GPE
Section 230,LAW
the Labor Law,LAW
Section 239,LAW
Contractor,ORG
New York State,GPE
50.00,MONEY
Section 220-e,LAW
Section 239,LAW
second,ORDINAL
6.,CARDINAL
Article 8 of the Labor Law,LAW
Article 9,LAW
Contractor,ORG
more than the number of hours,TIME
days,DATE
the Labor Law,LAW
the State Labor Department,ORG
Contractor,ORG
"the State Labor
Department",ORG
the Labor Law,LAW
"April 28, 2008",DATE
Article 8 of the Labor Law,LAW
Contractor,ORG
Subdivision 3-a,LAW
Section 220,LAW
the Labor Law,LAW
State,ORG
State,ORG
7,CARDINAL
Section 139-d,LAW
the State Finance Law,LAW
Contractor,ORG
Contractor,ORG
Contractor,ORG
State,ORG
Contractor,ORG
8,CARDINAL
Section 220-f,LAW
the Labor Law,LAW
Section 139-h,LAW
the State Finance Law,LAW
"5,000",MONEY
Contractor,ORG
Contractor,ORG
"Export Administration
Act of 1979",LAW
50 USC App. Sections,LAW
2401 et seq.,CARDINAL
Contractor,ORG
Contractor,ORG
the United States,ORG
Commerce Department,ORG
the United States,GPE
five (5) business days,DATE
"2
NYCRR § 105.4",CARDINAL
State,ORG
October 2019,DATE
State,ORG
State,ORG
State,ORG
State,ORG
State,ORG
State,ORG
State,ORG
State,ORG
Records,WORK_OF_ART
the calendar year,DATE
six (6) additional years,DATE
Records,WORK_OF_ART
normal business hours,TIME
New York,GPE
State,ORG
State,ORG
Records,WORK_OF_ART
Section 87 of the Public Officers Law,LAW
"the
""Statute",LAW
State,ORG
ii,CARDINAL
iii,CARDINAL
Statute,LAW
State,ORG
New York State,GPE
New York State,GPE
"the Statewide
Financial System",ORG
1,CARDINAL
"Section
5 of the State Tax Law",LAW
State,ORG
State,ORG
2,CARDINAL
"the Statewide
Financial System",ORG
the Vendor Management Unit,ORG
Bureau of State Expenditures,ORG
"Office of the State
Comptroller",ORG
110,CARDINAL
Albany,GPE
New York,GPE
12236,CARDINAL
"Section

312 of the Executive Law",LAW
5 NYCRR Part 143,LAW
"25,000.00",MONEY
"100,000.00",MONEY
"100,000.00",MONEY
State,ORG
Contractor,ORG
Contractor,ORG
October 2019,DATE
State,ORG
Contractor,ORG
Contractor,ORG
State,ORG
Contractor,ORG
"25,000.00",MONEY
Work,ORG
"Section
312",LAW
"New
York State",GPE
State,ORG
Section 312,LAW
"the
Department of Economic Development’s",ORG
"Division of
Minority and Women's Business Development",ORG
New York,GPE
Article 11-A,LAW
the State Finance Law,LAW
New York,GPE
17.,CARDINAL
"the State Civil Practice Law & Rules
",LAW
CPLR,LAW
State,ORG
"the United States Postal
Service",ORG
State,ORG
State,ORG
thirty (30) calendar days,DATE
18,CARDINAL
"Section 165 of the State
Finance Law",LAW
State,ORG
State,ORG
§ 165 State Finance Law,LAW
State,ORG
State,ORG
October 2019,DATE
19,CARDINAL
the MacBride Fair Employment Principles,LAW
Chapter 807 of the Laws of 1992,LAW
Northern Ireland,GPE
Northern Ireland,GPE
"the MacBride Fair
Employment Principles",LAW
Section 165 of the,LAW
20.,CARDINAL
OMNIBUS PROCUREMENT ACT,LAW
1992,DATE
New York State,GPE
New York State,GPE
New York State,GPE
NYS Department of Economic Development,ORG
"Division for Small Business

",ORG
Albany,GPE
New York,GPE
"12245

",CARDINAL
518-292-5100,CARDINAL
518-292,CARDINAL
"Department of Economic Development
Division of Minority and Women's Business
Development",ORG
New York,GPE
NY,GPE
The Omnibus Procurement Act of 1992,LAW
"Chapter 844 of the
Laws of 1992",LAW
State Finance Law § 139-i,LAW
Public Authorities Law § 2879(3)(n)-(p),LAW
$1 million,MONEY
New York State,GPE
State,ORG
"the Federal Equal
Opportunity Act of 1972",LAW
P.L. 92-261,LAW
New York State,GPE
the Job Service Division,ORG
"the New
York State Department of Labor",ORG
State,ORG
State,ORG
State,ORG
21.,CARDINAL
New York State,GPE
"New York
State",GPE
the Omnibus Procurement Act 1994,LAW
2000,DATE
Chapter 684,LAW
Chapter 383,LAW
State Finance Law §165(6),LAW
"Public
Authorities Law § 2879(5)",LAW
October 2019,DATE
"South
Carolina",GPE
Alaska,GPE
West Virginia,GPE
Wyoming,GPE
Louisiana,GPE
Hawaii,GPE
22,CARDINAL
"the New York State Information Security
Breach and Notification Act",LAW
General Business Law,LAW
899-aa,CARDINAL
State Technology Law § 208,LAW
"March 21, 2020",DATE
"General Business
Law § 899-bb.

23.",LAW
"Section
163 (4)(g)",LAW
the State Finance Law,LAW
Chapter 10,LAW
the Laws of 2006,LAW
October 2019,DATE
"the
Department of Civil Service",ORG
24,CARDINAL
"State
Finance Law §",LAW
139-j,CARDINAL
139-k,CARDINAL
State Finance Law,LAW
§§ 139-j,LAW
State,ORG
"Tax
Law § 5-a",LAW
Tax Law § 5-a,LAW
the Department of Taxation and Finance,ORG
Tax Law § 5-a,LAW
State,ORG
26.,CARDINAL
IRAN DIVESTMENT ACT,LAW
Contractor,ORG
"State
Finance Law § 165-a",LAW
"the New York State Iran Divestment Act of
2012",LAW
"the
Prohibited Entities List",LAW
State,ORG
Contract,LAW
"State
Finance Law §165-a",LAW
90 days,DATE
27,CARDINAL
October 2019,DATE
October 2019,DATE
"September 6, 2023",DATE
"DataKind, Inc.",ORG
Delaware,GPE
271,CARDINAL
Brooklyn,GPE
NY,GPE
DataKind,ORG
"the City
University of New York",ORG
John Jay College of Criminal Justice,ORG
Article 125 of the Education Law of the State of New York,LAW
New York,GPE
NY,GPE
Client,ORG
DataKind,ORG
Client,ORG
DataKind,ORG
Client,ORG
DataKind,ORG
DataKind,ORG
Client,ORG
a Statement of Work,LAW
2.,CARDINAL
Party,ORG
30 days,DATE
Party,ORG
SOW,ORG
Party,ORG
thirty (30) days,DATE
Party,ORG
Party,ORG
Sections 4,LAW
7,CARDINAL
8,CARDINAL
9,CARDINAL
DataKind,ORG
Client,ORG
The Work Product,PRODUCT
Services,ORG
Client,ORG
DataKind,ORG
Client,ORG
DataKind,ORG
DataKind,ORG
"the
Work Product",PRODUCT
DataKind,ORG
Client,ORG
DataKind,ORG
DataKind,ORG
Client,ORG
DataKind,ORG
"the Mutual
Non-Disclosure Agreement",LAW
DATE,DATE
the “Mutual Non-Disclosure Agreement,LAW
Client,ORG
DataKind,ORG
DataKind,ORG
Client,ORG
Client,ORG
DataKind,ORG
Client,ORG
DataKind,ORG
Client,ORG
Client,ORG
DataKind,ORG
Client,ORG
Services,ORG
DataKind,ORG
5.,CARDINAL
Client,ORG
DataKind,ORG
third,ORDINAL
Client,ORG
Services,ORG
Client,ORG
DataKind,ORG
Client,ORG
third,ORDINAL
DataKind,ORG
Services,ORG
DataKind,ORG
DataKind,ORG
Client,ORG
DataKind,ORG
DataKind,ORG
DataKind,ORG
DataKind,ORG
the City of New York,GPE
DataKind,ORG
The New York State Iran Divestment Act of 2012,LAW
the New York State Office of General Services,ORG
DataKind,ORG
the Mutual Non-Disclosure Agreement,LAW
DATE,DATE
the “Mutual Non-Disclosure Agreement,LAW
DataKind,ORG
MNDA,ORG
paragraph 3,LAW
MNDA,LAW
DataKind,ORG
"Section
8 of the New York State Court of Claims Act",LAW
DataKind,ORG
any DataKind Indemnified Party,ORG
Client,ORG
DataKind,ORG
Client,ORG
Client,ORG
third,ORDINAL
third,ORDINAL
DataKind,ORG
DataKind,ORG
Client,ORG
DataKind,ORG
DataKind,ORG
Sections 6(a),LAW
7,CARDINAL
DataKind,ORG
Client,ORG
DataKind,ORG
"the Mutual Non-Disclosure
Agreement",LAW
Client,ORG
DataKind,ORG
New York,GPE
New York,GPE
one,CARDINAL
DataKind,ORG
DataKind,ORG
Services,ORG
DataKind,ORG
DataKind,ORG
Client,ORG
treasury,ORG
the City of New York,GPE
the State,GPE
DataKind,ORG
Client,ORG
Client,ORG
this subsection 9(f),LAW
DataKind,ORG
State,ORG
the State of New York,ORG
The City University of New York,ORG
Caitlin Augustin,PERSON
"9/25/23

",DATE
Mark Flower,PERSON
Date:09/1 1/2023,DATE
DataKind,ORG
John Jay College,ORG
6 year,DATE
College,ORG
DataKind,ORG
John Jay College,ORG
College,ORG
John Jay College,ORG
DataKind,ORG
John Jay College,ORG
DataKind,ORG
College,ORG
DataKind,ORG
DataKind,ORG
DataKind,ORG
two years,DATE
14-month,DATE
NEW YORK,GPE
October 2019,DATE
NYS,GPE
1.,CARDINAL
"Executory Clause 3
2",LAW
"3
3",CARDINAL
"3
4",CARDINAL
"3
",CARDINAL
"3
",CARDINAL
3-4,CARDINAL
"4
",CARDINAL
"4
",CARDINAL
"4
",CARDINAL
"4
",CARDINAL
"4
",CARDINAL
4-5,CARDINAL
"5
14",CARDINAL
"5
15",CARDINAL
"5
16",CARDINAL
"5
17",CARDINAL
Service of Process,LAW
"5
18",CARDINAL
5-6,CARDINAL
MacBride Fair Employment Principles,LAW
"6
20",CARDINAL
Omnibus Procurement Act of 1992,LAW
"6
21",CARDINAL
Reciprocity and Sanctions Provisions,LAW
"6
22",CARDINAL
"6
23",CARDINAL
"6
24",CARDINAL
"7
25",CARDINAL
Iran Divestment Act 7,LAW
"7

",CARDINAL
2,CARDINAL
October 2019,DATE
STANDARD,PERSON
NYS,GPE
STANDARD,PERSON
NYS,GPE
State,ORG
1.,CARDINAL
"Section 41
of the State Finance Law",LAW
State,ORG
2.,CARDINAL
Section 138,LAW
the State Finance Law,LAW
State,ORG
Article XI,LAW
the State Finance Law,LAW
Contractor,ORG
State,ORG
Contractor,ORG
State,ORG
State,ORG
Article 5-A,LAW
the State Finance Law,LAW
3.,CARDINAL
COMPTROLLER,ORG
Section 112,LAW
the State Finance Law,LAW
the State University,ORG
City University of New York,ORG
"Section
355",LAW
Section 6218,LAW
the Education Law,LAW
"50,000",MONEY
"the
Office of the State Comptroller",ORG
S.U.N.Y.,ORG
State,ORG
"25,000",MONEY
State,ORG
State,ORG
"the Office of General
Services",ORG
"85,000",MONEY
"State
Finance Law § 163.6-a",LAW
the Office of General Services,ORG
4.,CARDINAL
Section 142 of the State Finance Law,LAW
3,CARDINAL
"the Workers' Compensation
Law.

5. NON-DISCRIMINATION REQUIREMENTS",LAW
Article 15 of the Executive Law,LAW
the Human Rights Law,LAW
State,ORG
Contractor,LAW
the Human Rights Law,LAW
the Human Rights Law,LAW
Section 220-e,LAW
"the Labor
Law",LAW
New York,GPE
Contractor,ORG
New York State,GPE
"Section 230 of
the Labor Law",LAW
Section 239,LAW
Contractor,ORG
"New York
State",GPE
50.00,MONEY
Section 220-e,LAW
Section 239,LAW
second,ORDINAL
6.,CARDINAL
Article 8 of the Labor Law,LAW
Article 9,LAW
Contractor,ORG
hours,TIME
days,DATE
the Labor Law,LAW
"the State Labor
Department",ORG
Contractor,ORG
the State Labor Department,ORG
the Labor Law,LAW
"April
28, 2008",DATE
"Article 8
of the Labor Law",LAW
Contractor,ORG
"Subdivision 3-

October 2019",LAW
Section 220 of the Labor Law,LAW
State,ORG
State,ORG
Section 139-d,LAW
the State Finance Law,LAW
Contractor,ORG
Contractor,ORG
Contractor,ORG
State,ORG
Contractor,ORG
8,CARDINAL
Section 220-f,LAW
the Labor Law,LAW
"Section
139-h",LAW
the State Finance Law,LAW
"5,000",MONEY
Contractor,ORG
Contractor,ORG
"Export
Administration Act",LAW
1979,DATE
50 USC App.,LAW
Contractor,ORG
Contractor,ORG
the United States,ORG
"Commerce
Department",ORG
"the United
States",GPE
five (5) business days,DATE
2 NYCRR § 105.4,LAW
9.,CARDINAL
State,ORG
State,ORG
State,ORG
State,ORG
State,ORG
State,ORG
State,ORG
State,ORG
State,ORG
10,CARDINAL
Records,WORK_OF_ART
Records,WORK_OF_ART
the calendar year,DATE
six (6) additional years,DATE
4,CARDINAL
Records,WORK_OF_ART
normal business hours,TIME
Contractor,ORG
State,ORG
State,ORG
"Section 87 of
the Public Officers Law",LAW
State,ORG
Statute,LAW
State,ORG
New York State,GPE
New York State,GPE
Federal,ORG
Federal,ORG
"the
Statewide Financial System",ORG
Section 5 of the State Tax Law,LAW
State,ORG
State,ORG
2,CARDINAL
the Statewide Financial System,ORG
"the Vendor
Management Unit",ORG
the Bureau of State Expenditures,ORG
Office of the State Comptroller,ORG
110,CARDINAL
State Street,FAC
Albany,GPE
"New
York",GPE
12236,CARDINAL
"Section

312 of the Executive Law",LAW
5 NYCRR Part 143,LAW
October 2019,DATE
"25,000.00",MONEY
"100,000.00",MONEY
"100,000.00",MONEY
State,ORG
Contractor,ORG
Contractor,ORG
State,ORG
Contractor,ORG
Contractor,ORG
Contractor,ORG
State,ORG
Contractor,ORG
"25,000.00",MONEY
Work,WORK_OF_ART
Work,ORG
Contractor,ORG
Section 312,LAW
New York State,GPE
State,ORG
Section 312,LAW
"the Department of Economic
Development",ORG
"Division of Minority and Women's Business
Development",ORG
13.,CARDINAL
14.,CARDINAL
15.,CARDINAL
Article 11-A,LAW
the State Finance Law,LAW
16.,CARDINAL
17,CARDINAL
"the State Civil Practice Law & Rules
",LAW
CPLR,LAW
State,ORG
the United States Postal Service,ORG
State,ORG
State,ORG
"thirty (30)
calendar days",DATE
Section 165 of the State Finance Law,LAW
State,ORG
State,ORG
October 2019,DATE
NYS,ORG
§ 165 State Finance Law,LAW
State,ORG
State,ORG
19.,CARDINAL
MACBRIDE FAIR EMPLOYMENT PRINCIPLES,LAW
the MacBride Fair Employment Principles,LAW
Chapter 807 of the Laws of 1992,LAW
Northern Ireland,GPE
"Northern
Ireland",LOC
"the MacBride Fair Employment
Principles",LAW
"Section 165 of the New York State
Finance Law",LAW
20.,CARDINAL
OMNIBUS PROCUREMENT ACT,LAW
1992,DATE
New York State,GPE
New York State,GPE
New York State,GPE
NYS Department of Economic Development,ORG
"Division for Small Business

",ORG
Albany,GPE
New York,GPE
12245,CARDINAL
518-292,CARDINAL
518-292,CARDINAL
NYS Department of Economic Development,ORG
Division of Minority and Women's Business Development,ORG
New York,GPE
NY,GPE
"10017

",CARDINAL
The Omnibus Procurement Act of 1992,LAW
"Chapter 844 of the
Laws of 1992",LAW
State Finance Law,LAW
§ 139-i,LAW
"Public
Authorities Law § 2879(3)(n)-(p))",LAW
$1 million,MONEY
New York State Business Enterprises,ORG
State,ORG
"the Federal Equal
Opportunity Act of 1972",LAW
P.L. 92-261,LAW
New York State,GPE
the Job Service Division,ORG
"the New York State
Department of Labor",ORG
State,ORG
State,ORG
State,ORG
21.,CARDINAL
New York State,GPE
New York State,GPE
"the Omnibus
Procurement Act 1994",LAW
2000,DATE
"Chapter 684 and
Chapter 383",LAW
State Finance Law,LAW
Public Authorities Law § 2879(5),LAW
October 2019,DATE
South Carolina,GPE
Alaska,GPE
West Virginia,GPE
Wyoming,GPE
Louisiana,GPE
Hawaii,GPE
22.,CARDINAL
"the New York State Information Security
Breach and Notification Act",LAW
General Business Law § 899-aa,LAW
State Technology Law § 208,LAW
"March 21,
2020",DATE
"General Business Law § 899-bb.

23",LAW
"Section 163
(4)(g)",LAW
the State Finance Law,LAW
"Chapter 10 of
the Laws of 2006",LAW
the Department of Civil Service,ORG
"the State
Comptroller",ORG
October 2019,DATE
NYS,ORG
"State
Finance Law",LAW
139-j,CARDINAL
139,LAW
State Finance Law,LAW
§§ 139-j,LAW
139-k,CARDINAL
State,ORG
"Tax Law
§ 5-a",LAW
Tax Law § 5-a,LAW
"the
Department of Taxation and Finance",ORG
Tax Law § 5-a,LAW
State,ORG
26.,CARDINAL
IRAN DIVESTMENT ACT,LAW
"State
Finance Law § 165-a",LAW
"the New
York State Iran Divestment Act of 2012",LAW
State,ORG
State Finance Law,LAW
§ 165-a,LAW
90 days,DATE
7,CARDINAL
October 2019,DATE
